Date;Symbol;Indexvalue
15.07.2019;V6I1;13.8643
16.07.2019;V6I1;13.6255
17.07.2019;V6I1;13.3601
22.07.2019;V6I1;13.371
23.07.2019;V6I1;12.3526
24.07.2019;V6I1;12.8033
25.07.2019;V6I1;12.8663
26.07.2019;V6I1;12.0164
29.07.2019;V6I1;11.9275
30.07.2019;V6I1;14.4264
31.07.2019;V6I1;14.3188
01.08.2019;V6I1;12.852
02.08.2019;V6I1;19.0619
05.08.2019;V6I1;23.6601
06.08.2019;V6I1;23.9329
07.08.2019;V6I1;23.3938
08.08.2019;V6I1;18.6541
09.08.2019;V6I1;19.933
12.08.2019;V6I1;22.4495
13.08.2019;V6I1;21.483
14.08.2019;V6I1;29.2087
19.08.2019;V6I1;18.272
20.08.2019;V6I1;18.4306
21.08.2019;V6I1;16.763
22.08.2019;V6I1;18.2226
23.08.2019;V6I1;20.197
26.08.2019;V6I1;20.3571
27.08.2019;V6I1;19.463
28.08.2019;V6I1;19.3162
29.08.2019;V6I1;17.407
30.08.2019;V6I1;17.4174
02.09.2019;V6I1;17.2527
03.09.2019;V6I1;17.7348
04.09.2019;V6I1;15.6579
05.09.2019;V6I1;14.2902
06.09.2019;V6I1;13.2378
09.09.2019;V6I1;14.2485
10.09.2019;V6I1;15.1807
11.09.2019;V6I1;16.1352
12.09.2019;V6I1;13.8812
13.09.2019;V6I1;12.6978
16.09.2019;V6I1;16.9799
17.09.2019;V6I1;18.1308
18.09.2019;V6I1;18.7722
23.09.2019;V6I1;15.1649
24.09.2019;V6I1;15.5539
25.09.2019;V6I1;16.9982
26.09.2019;V6I1;16.1322
27.09.2019;V6I1;15.2141
30.09.2019;V6I1;15.0468
01.10.2019;V6I1;17.1175
02.10.2019;V6I1;22.0601
03.10.2019;V6I1;21.5994
04.10.2019;V6I1;18.8307
07.10.2019;V6I1;18.5903
08.10.2019;V6I1;20.6142
09.10.2019;V6I1;19.3066
10.10.2019;V6I1;19.3036
11.10.2019;V6I1;17.3581
14.10.2019;V6I1;19.3989
15.10.2019;V6I1;17.456
16.10.2019;V6I1;20.6933
21.10.2019;V6I1;14.4942
22.10.2019;V6I1;13.7469
23.10.2019;V6I1;12.8045
24.10.2019;V6I1;12.2138
25.10.2019;V6I1;11.7899
28.10.2019;V6I1;12.0002
29.10.2019;V6I1;12.5339
30.10.2019;V6I1;12.6362
31.10.2019;V6I1;12.6136
01.11.2019;V6I1;11.1169
04.11.2019;V6I1;11.464
05.11.2019;V6I1;11.5702
06.11.2019;V6I1;11.8695
07.11.2019;V6I1;11.1873
08.11.2019;V6I1;10.5587
11.11.2019;V6I1;12.1492
12.11.2019;V6I1;12.3779
13.11.2019;V6I1;12.6486
18.11.2019;V6I1;12.1474
19.11.2019;V6I1;12.4108
20.11.2019;V6I1;12.7164
21.11.2019;V6I1;13.0779
22.11.2019;V6I1;12.9964
25.11.2019;V6I1;12.1388
